Threads,Schedule,Chunk,Tempo_ms,SSE_Final,Iteracoes
1,Serial,N/A,58.0,17920735.249390,17
1,static,default,57.8,17920735.249390,17
1,static,100,54.1,17920735.249390,17
1,static,1000,57.9,17920735.249390,17
1,static,10000,56.2,17920735.249390,17
1,dynamic,default,93.0,17920735.249390,17
1,dynamic,100,59.9,17920735.249390,17
1,dynamic,1000,57.8,17920735.249390,17
1,dynamic,10000,61.5,17920735.249390,17
2,static,default,48.3,17920735.249390,17
2,static,100,49.3,17920735.249390,17
2,static,1000,52.4,17920735.249390,17
2,static,10000,46.1,17920735.249390,17
2,dynamic,default,305.1,17920735.249390,17
2,dynamic,100,52.1,17920735.249390,17
2,dynamic,1000,48.5,17920735.249390,17
2,dynamic,10000,44.1,17920735.249390,17
4,static,default,53.1,17920735.249390,17
4,static,100,63.5,17920735.249390,17
4,static,1000,72.1,17920735.249390,17
4,static,10000,68.7,17920735.249390,17
4,dynamic,default,320.8,17920735.249390,17
4,dynamic,100,68.6,17920735.249390,17
4,dynamic,1000,56.8,17920735.249390,17
4,dynamic,10000,60.6,17920735.249390,17
8,static,default,49.8,17920735.249390,17
8,static,100,54.0,17920735.249390,17
8,static,1000,68.7,17920735.249390,17
8,static,10000,45.9,17920735.249390,17
8,dynamic,default,327.4,17920735.249390,17
8,dynamic,100,50.6,17920735.249390,17
8,dynamic,1000,46.2,17920735.249390,17
8,dynamic,10000,46.5,17920735.249390,17
16,static,default,34.0,17920735.249390,17
16,static,100,36.8,17920735.249390,17
16,static,1000,33.7,17920735.249390,17
16,static,10000,36.9,17920735.249390,17
16,dynamic,default,323.2,17920735.249390,17
16,dynamic,100,37.1,17920735.249390,17
16,dynamic,1000,33.4,17920735.249390,17
16,dynamic,10000,32.5,17920735.249390,17
1,static,default,62.8,17920735.249390,17
1,static,100,59.9,17920735.249390,17
1,static,1000,69.6,17920735.249390,17
1,static,10000,57.4,17920735.249390,17
1,dynamic,default,98.6,17920735.249390,17
1,dynamic,100,61.0,17920735.249390,17
1,dynamic,1000,63.7,17920735.249390,17
1,dynamic,10000,64.1,17920735.249390,17
2,static,default,61.5,17920735.249390,17
2,static,100,58.4,17920735.249390,17
2,static,1000,69.1,17920735.249390,17
2,static,10000,56.3,17920735.249390,17
2,dynamic,default,296.5,17920735.249390,17
2,dynamic,100,68.0,17920735.249390,17
2,dynamic,1000,84.0,17920735.249390,17
2,dynamic,10000,61.6,17920735.249390,17
4,static,default,78.8,17920735.249390,17
4,static,100,73.2,17920735.249390,17
4,static,1000,75.9,17920735.249390,17
4,static,10000,75.5,17920735.249390,17
4,dynamic,default,489.6,17920735.249390,17
4,dynamic,100,72.7,17920735.249390,17
4,dynamic,1000,62.5,17920735.249390,17
4,dynamic,10000,63.7,17920735.249390,17
8,static,default,59.0,17920735.249390,17
8,static,100,52.6,17920735.249390,17
8,static,1000,53.7,17920735.249390,17
8,static,10000,45.7,17920735.249390,17
8,dynamic,default,349.7,17920735.249390,17
8,dynamic,100,43.4,17920735.249390,17
8,dynamic,1000,47.8,17920735.249390,17
8,dynamic,10000,44.7,17920735.249390,17
16,static,default,40.1,17920735.249390,17
16,static,100,42.6,17920735.249390,17
16,static,1000,36.3,17920735.249390,17
16,static,10000,36.8,17920735.249390,17
16,dynamic,default,333.8,17920735.249390,17
16,dynamic,100,42.4,17920735.249390,17
16,dynamic,1000,33.1,17920735.249390,17
16,dynamic,10000,37.7,17920735.249390,17
